"","titles","prices","years","transmissions","make.1","make.2"
"1",NA,"",NA,NA,,
"2","Toyota wish","1900000","2012 ","Automatic",Toyota,wish
"3","Volkswagen Tiguan","2950000","2012 ","Tiptronic",Volkswagen,Tiguan
"4","Toyota aqua","1450000","2013 ","Automatic",Toyota,aqua
"5","Nissan Tiida Latio","1650000","2014 ","Automatic",Nissan,Tiida Latio
"6","Toyota vitz","1150000","2012 ","Automatic",Toyota,vitz
"7","Toyota Corolla Axio","1999000","2014 ","Automatic",Toyota,Corolla Axio
"8","Isuzu Forward Smoother E","3350000","2004 ","Manual",Isuzu,Forward Smoother E
"9","Honda Fit","1280000","2012 ","Automatic",Honda,Fit
"10","Honda Stepwagon","2045000","2012 ","Automatic",Honda,Stepwagon
"11","Mazda Demio",NA,"2012 ","Automatic",Mazda,Demio
"12","Mazda Axela","1450000","2011 ","Tiptronic",Mazda,Axela
"13","Toyota Voxy ZS Kirameki II","2690000","2012 ","Automatic",Toyota,Voxy ZS Kirameki II
"14","BMW 320i","3600000","2012 ","Tiptronic",BMW,320i
"15","Toyota Vitz",NA,"2011 ","Automatic",Toyota,Vitz
"16","Honda Fit","1830000","2014 ","Automatic",Honda,Fit
"17","Honda CR-V","730000","1999 ","Manual",Honda,CR-V
"18","Suzuki Swift","1600000","2015 ","Automatic",Suzuki,Swift
"19","Toyota Fielder","1950000","2014 ","Automatic",Toyota,Fielder
"20","Toyota Allion","1680000","2010 ","Automatic",Toyota,Allion
"21","BMW X6","10500000","2016 ","Automatic",BMW,X6
"22","Honda Stream","2200000","2012 ","Automatic",Honda,Stream
"23","BMW X5","1.5e+07","2016 ","Tiptronic",BMW,X5
"24","Nissan Bluebird",NA,"2001 ","Automatic",Nissan,Bluebird
"25","Honda Civic Touring","3500000","2016 ","Automatic",Honda,Civic Touring
"26","Honda CIVIC",NA,"2016 ","Automatic",Honda,CIVIC
"27","Toyota  Premio","2480000","2014 ","Automatic",Toyota, Premio
"28","Toyota Altis","920000","2004 ","Automatic",Toyota,Altis
"29","Toyota RAV4","3340000","2014 ","Automatic",Toyota,RAV4
"30","Toyota Passo","850000","2010 ","Automatic",Toyota,Passo
"31","Nissan Bluebird Sylphy","1920000","2013 ","Automatic",Nissan,Bluebird Sylphy
"32","Honda Fit","11","2012 ","Automatic",Honda,Fit
"33","Mitsubishi Montero Sport","750000","2002 ","Automatic",Mitsubishi,Montero Sport
"34","Toyota wish","1990000","2011 ","Automatic",Toyota,wish
"35","Nissan Sunny B15","420000","2002 ","Automatic",Nissan,Sunny B15
"36","Toyota Probox",NA,"2011 ","Automatic",Toyota,Probox
"37","Suzuki Grand Vitara","550000","2002 ","Automatic",Suzuki,Grand Vitara
"38","Suzuki Swift",NA,"2015 ","Automatic",Suzuki,Swift
"39","Toyota Noah Si","2500000","2012 ","Tiptronic",Toyota,Noah Si
"40","Toyota Voxy","2100000","2011 ","Automatic",Toyota,Voxy
"41","Nissan Note",NA,"2014 ","Automatic",Nissan,Note
"42","Toyota Probox","1250000","2013 ","Automatic",Toyota,Probox
"43","Nissan Note","780000","2007 ","Automatic",Nissan,Note
"44","Honda Fit","2500000","2017 ","Automatic",Honda,Fit
"45","Honda Fit","1750000","2012 ","Manual",Honda,Fit
"46","Suzuki Alto","750000","2012 ","Automatic",Suzuki,Alto
"47","Honda CIVIC","3800000","2017 ","Automatic",Honda,CIVIC
"48","Toyota Axio G","2260000","2013 ","Automatic",Toyota,Axio G
"49","Honda Fit",NA,"2015 ","Automatic",Honda,Fit
"50","Suzuki Grand Vitara","1640000","2009 ","Automatic",Suzuki,Grand Vitara
"51","Toyota wish","2800000","2014 ","Automatic",Toyota,wish
"52","Mercedes-Benz CLA 250","6e+06","2015 ","Automatic",Mercedes-Benz,CLA 250
"53","Nissan Note","1650000","2015 ","Automatic",Nissan,Note
"54","Nissan Tiida","930000","2011 ","Automatic",Nissan,Tiida
"55","Honda Accord","5800000","2018 ","Automatic",Honda,Accord
"56","Honda CIVIC","2850000","2016 ","Automatic",Honda,CIVIC
"57","Honda Fit","1770000","2014 ","Automatic",Honda,Fit
"58","BMW 116i","1750000","2011 ","Automatic",BMW,116i
"59","Toyota Noah","2250000","2012 ","Automatic",Toyota,Noah
"60","Nissan Bluebird","230000","1992 ","Automatic",Nissan,Bluebird
"61","Mitsubishi Montero Sport","650000","2000 ","Automatic",Mitsubishi,Montero Sport
"62","Nissan Tiida Latio","1170000","2012 ","Automatic",Nissan,Tiida Latio
"63","Mitsubishi Pajero","1100000","2002 ","Automatic",Mitsubishi,Pajero
"64","Honda Accord Sport","3e+06","2013 ","Automatic",Honda,Accord Sport
"65","Honda CR-V","3700000","2016 ","Automatic",Honda,CR-V
"66","Audi A1 ","2470000","2011 ","Manual",Audi,A1 
"67","Honda CR-V EX","4600000","2015 ","Automatic",Honda,CR-V EX
"68","Toyota Probox",NA,"2013 ","Automatic",Toyota,Probox
"69","Volkswagen Jetta","1980000","2013 ","Automatic",Volkswagen,Jetta
"70","Honda Fit","1599999","2013 ","Automatic",Honda,Fit
"71","Nissan Note","1250000","2013 ","Automatic",Nissan,Note
"72","Toyota AXIO","1650000","2012 ","Automatic",Toyota,AXIO
"73","Honda CIVIC","2600000","2015 ","Manual",Honda,CIVIC
"74","Honda CIVIC",NA,"2011 ","Automatic",Honda,CIVIC
"75","BMW X6",NA,"2016 ","Automatic",BMW,X6
"76","Toyota AXIO","1200000","2010 ","Automatic",Toyota,AXIO
"77","Lexus GS300","5300000","2014 ","Tiptronic",Lexus,GS300
"78","BMW X3",NA,"2014 ","Automatic",BMW,X3
"79","Honda Civic EX-L","2350000","2015 ","Automatic",Honda,Civic EX-L
"80","Honda CIVIC","2250000","2015 ","Automatic",Honda,CIVIC
"81","Honda Stream",NA,"2012 ","Automatic",Honda,Stream
"82","Honda Fit",NA,"2012 ","Automatic",Honda,Fit
"83","Toyota Reguisace",NA,"2013 ","Automatic",Toyota,Reguisace
"84","Mercedes-Benz  A180","1780000","2011 ","Tiptronic",Mercedes-Benz, A180
"85","Suzuki  Alto","7e+05","2012 ","Automatic",Suzuki, Alto
"86","Suzuki Swift",NA,"2015 ","Automatic",Suzuki,Swift
"87","Toyota Tacoma","6300000","2016 ","Automatic",Toyota,Tacoma
"88","Toyota Corolla",NA,"2012 ","Automatic",Toyota,Corolla
"89","Subaru  IMPREZA SPORT","1799000","2013 ","Automatic",Subaru, IMPREZA SPORT
"90","Toyota Succeed","1390000","2013 ","Automatic",Toyota,Succeed
"91","Nissan Tiida","1260000","2012 ","Automatic",Nissan,Tiida
"92","Mazda Axela",NA,"2015 ","Automatic",Mazda,Axela
"93","Nissan Note","1280000","2013 ","Automatic",Nissan,Note
"94","Jaguar XF","4100000","2011 ","Automatic",Jaguar,XF
"95","BMW 550i","2800000","2008 ","Automatic",BMW,550i
"96","Honda Fit","1830000","2015 ","Automatic",Honda,Fit
"97","Mazda Premacy",NA,"2014 ","Automatic",Mazda,Premacy
"98","Nissan Murano","1300000","2005 ","Automatic",Nissan,Murano
"99","Audi Q3","4200000","2013 ","Automatic",Audi,Q3
"100","Toyota Mark X",NA,"2012 ","Automatic",Toyota,Mark X
"101","BMW 320i","4100000","2013 ","Automatic",BMW,320i
"102","Honda Civic Touring","3250000","2016 ","Automatic",Honda,Civic Touring
"103","Toyota Hilux","1350000","2005 ","Manual",Toyota,Hilux
"104","Toyota AXIO","2100000","2015 ","Automatic",Toyota,AXIO
"105","BMW M","4550000","2014 ","Automatic",BMW,M
"106","Nissan Altima",NA,"2014 ","Automatic",Nissan,Altima
